Date	Discharge (cfs)
10/1/49	1500
10/2/49	1360
10/3/49	1200
10/4/49	1290
10/5/49	1630
10/6/49	1100
10/7/49	690
10/8/49	1960
10/9/49	1590
10/10/49	1620
10/11/49	1970
10/12/49	1690
10/13/49	1320
10/14/49	1040
10/15/49	2260
10/16/49	1810
10/17/49	1090
10/18/49	1750
10/19/49	2530
10/20/49	2650
10/21/49	2140
10/22/49	1760
10/23/49	2340
10/24/49	2350
10/25/49	2300
10/26/49	1760
10/27/49	1870
10/28/49	2040
10/29/49	1750
10/30/49	1380
10/31/49	1360
11/1/49	1620
11/2/49	1640
11/3/49	1740
11/4/49	1630
11/5/49	1720
11/6/49	1340
11/7/49	1700
11/8/49	1880
11/9/49	1790
11/10/49	1850
11/11/49	1770
11/12/49	785
11/13/49	1580
11/14/49	1810
11/15/49	1740
11/16/49	1710
11/17/49	1320
11/18/49	1350
11/19/49	1770
11/20/49	1630
11/21/49	866
11/22/49	1820
11/23/49	1900
11/24/49	2290
11/25/49	1610
11/26/49	1690
11/27/49	1650
11/28/49	1360
11/29/49	1980
11/30/49	1010
12/1/49	1040
12/2/49	1960
12/3/49	2100
12/4/49	1840
12/5/49	1430
12/6/49	1170
12/7/49	1270
12/8/49	1270
12/9/49	1440
12/10/49	1450
12/11/49	1620
12/12/49	1840
12/13/49	1730
12/14/49	1080
12/15/49	1670
12/16/49	1470
12/17/49	1530
12/18/49	1760
12/19/49	930
12/20/49	1690
12/21/49	2000
12/22/49	2070
12/23/49	2150
12/24/49	1570
12/25/49	1850
12/26/49	1370
12/27/49	1450
12/28/49	1870
12/29/49	1810
12/30/49	1810
12/31/49	1740
1/1/50	1260
1/2/50	650
1/3/50	1410
1/4/50	1420
1/5/50	1640
1/6/50	1250
1/7/50	960
1/8/50	1170
1/9/50	1610
1/10/50	2110
1/11/50	1930
1/12/50	1560
1/13/50	2280
1/14/50	2290
1/15/50	3000
1/16/50	920
1/17/50	2350
1/18/50	2350
1/19/50	1840
1/20/50	1890
1/21/50	2360
1/22/50	2880
1/23/50	3150
1/24/50	3550
1/25/50	3910
1/26/50	3820
1/27/50	3590
1/28/50	3350
1/29/50	2310
1/30/50	2200
1/31/50	2390
2/1/50	2500
2/2/50	2200
2/3/50	1990
2/4/50	1640
2/5/50	1430
2/6/50	2240
2/7/50	2440
2/8/50	2990
2/9/50	3080
2/10/50	2840
2/11/50	2410
2/12/50	2370
2/13/50	3200
2/14/50	3070
2/15/50	2680
2/16/50	2760
2/17/50	2970
2/18/50	3030
2/19/50	3080
2/20/50	2550
2/21/50	2530
2/22/50	2460
2/23/50	2400
2/24/50	2940
2/25/50	2720
2/26/50	3200
2/27/50	2350
2/28/50	2580
3/1/50	3030
3/2/50	2960
3/3/50	2990
3/4/50	2920
3/5/50	2830
3/6/50	3180
3/7/50	2770
3/8/50	2990
3/9/50	2950
3/10/50	2530
3/11/50	2960
3/12/50	2800
3/13/50	2160
3/14/50	2470
3/15/50	2460
3/16/50	2520
3/17/50	2540
3/18/50	2220
3/19/50	2130
3/20/50	2320
3/21/50	2410
3/22/50	2350
3/23/50	2260
3/24/50	2420
3/25/50	2660
3/26/50	2640
3/27/50	2690
3/28/50	2800
3/29/50	2460
3/30/50	2400
3/31/50	2390
4/1/50	2380
4/2/50	2080
4/3/50	2120
4/4/50	2190
4/5/50	2340
4/6/50	2620
4/7/50	3190
4/8/50	3380
4/9/50	3200
4/10/50	2720
4/11/50	3080
4/12/50	3270
4/13/50	3310
4/14/50	3490
4/15/50	3580
4/16/50	3570
4/17/50	3530
4/18/50	3630
4/19/50	3750
4/20/50	4790
4/21/50	5510
4/22/50	5720
4/23/50	5820
4/24/50	5490
4/25/50	5430
4/26/50	4960
4/27/50	5110
4/28/50	5210
4/29/50	4930
4/30/50	4860
5/1/50	4930
5/2/50	4690
5/3/50	4300
5/4/50	4230
5/5/50	4250
5/6/50	4370
5/7/50	4300
5/8/50	4120
5/9/50	3960
5/10/50	4030
5/11/50	4240
5/12/50	4340
5/13/50	4250
5/14/50	4090
5/15/50	4170
5/16/50	4290
5/17/50	4430
5/18/50	4290
5/19/50	4580
5/20/50	5360
5/21/50	5640
5/22/50	5680
5/23/50	5350
5/24/50	4960
5/25/50	4980
5/26/50	5220
5/27/50	5450
5/28/50	5520
5/29/50	5350
5/30/50	5180
5/31/50	5090
6/1/50	4940
6/2/50	4670
6/3/50	4290
6/4/50	4280
6/5/50	4320
6/6/50	4250
6/7/50	3700
6/8/50	3460
6/9/50	4080
6/10/50	4320
6/11/50	4330
6/12/50	4320
6/13/50	4100
6/14/50	3850
6/15/50	3220
6/16/50	3370
6/17/50	3210
6/18/50	2970
6/19/50	2880
6/20/50	3190
6/21/50	3320
6/22/50	3460
6/23/50	3390
6/24/50	3360
6/25/50	3210
6/26/50	3120
6/27/50	3210
6/28/50	3300
6/29/50	3550
6/30/50	3470
7/1/50	3250
7/2/50	2710
7/3/50	1940
7/4/50	2060
7/5/50	2300
7/6/50	2350
7/7/50	2450
7/8/50	2560
7/9/50	2670
7/10/50	2660
7/11/50	2830
7/12/50	2430
7/13/50	2660
7/14/50	2670
7/15/50	2430
7/16/50	2800
7/17/50	3030
7/18/50	2060
7/19/50	1680
7/20/50	1320
7/21/50	1650
7/22/50	1950
7/23/50	1730
7/24/50	1080
7/25/50	1210
7/26/50	1420
7/27/50	1680
7/28/50	1510
7/29/50	1360
7/30/50	1510
7/31/50	755
8/1/50	1170
8/2/50	1170
8/3/50	1440
8/4/50	1320
8/5/50	1230
8/6/50	1560
8/7/50	1700
8/8/50	1510
8/9/50	1740
8/10/50	1680
8/11/50	1880
8/12/50	1930
8/13/50	1640
8/14/50	1160
8/15/50	1280
8/16/50	1520
8/17/50	1650
8/18/50	1470
8/19/50	1550
8/20/50	1560
8/21/50	841
8/22/50	1450
8/23/50	1420
8/24/50	1460
8/25/50	1370
8/26/50	1250
8/27/50	1240
8/28/50	680
8/29/50	1480
8/30/50	1590
8/31/50	1300
9/1/50	1580
9/2/50	1330
9/3/50	1290
9/4/50	601
9/5/50	766
9/6/50	1640
9/7/50	1640
9/8/50	1190
9/9/50	1190
9/10/50	1150
9/11/50	699
9/12/50	1150
9/13/50	1670
9/14/50	2110
9/15/50	2160
9/16/50	1820
9/17/50	1980
9/18/50	2230
9/19/50	2200
9/20/50	2080
9/21/50	2170
9/22/50	2070
9/23/50	1770
9/24/50	1640
9/25/50	2220
9/26/50	2120
9/27/50	2200
9/28/50	2100
9/29/50	2420
9/30/50	2240
10/1/50	2520
10/2/50	2710
10/3/50	2480
10/4/50	2500
10/5/50	2950
10/6/50	2880
10/7/50	2660
10/8/50	2340
10/9/50	2460
10/10/50	2620
10/11/50	2030
10/12/50	2240
10/13/50	2490
10/14/50	2450
10/15/50	2880
10/16/50	2880
10/17/50	2050
10/18/50	1840
10/19/50	1750
10/20/50	2350
10/21/50	2900
10/22/50	2590
10/23/50	2430
10/24/50	2360
10/25/50	2160
10/26/50	2190
10/27/50	2160
10/28/50	1800
10/29/50	1980
10/30/50	2110
10/31/50	2260
11/1/50	2460
11/2/50	3210
11/3/50	3040
11/4/50	2900
11/5/50	2610
11/6/50	2380
11/7/50	2650
11/8/50	2780
11/9/50	2880
11/10/50	2390
11/11/50	2250
11/12/50	1720
11/13/50	1940
11/14/50	2180
11/15/50	2180
11/16/50	2470
11/17/50	2620
11/18/50	2160
11/19/50	1770
11/20/50	2020
11/21/50	2200
11/22/50	2220
11/23/50	3120
11/24/50	3140
11/25/50	3160
11/26/50	3050
11/27/50	2490
11/28/50	2520
11/29/50	2710
11/30/50	2500
12/1/50	2570
12/2/50	2310
12/3/50	2280
12/4/50	2610
12/5/50	3230
12/6/50	3620
12/7/50	3260
12/8/50	3140
12/9/50	2480
12/10/50	2660
12/11/50	2930
12/12/50	3120
12/13/50	3120
12/14/50	2910
12/15/50	2670
12/16/50	2700
12/17/50	2700
12/18/50	2620
12/19/50	2690
12/20/50	2780
12/21/50	2840
12/22/50	2800
12/23/50	2840
12/24/50	2780
12/25/50	2660
12/26/50	2500
12/27/50	2000
12/28/50	1860
12/29/50	2380
12/30/50	2450
12/31/50	2450
1/1/51	2330
1/2/51	2520
1/3/51	2640
1/4/51	2780
1/5/51	2940
1/6/51	2930
1/7/51	2940
1/8/51	2830
1/9/51	2740
1/10/51	1840
1/11/51	2000
1/12/51	2220
1/13/51	2450
1/14/51	2680
1/15/51	2500
1/16/51	2340
1/17/51	2720
1/18/51	2960
1/19/51	2860
1/20/51	2860
1/21/51	2860
1/22/51	2500
1/23/51	2660
1/24/51	2820
1/25/51	2850
1/26/51	3020
1/27/51	3150
1/28/51	3420
1/29/51	2850
1/30/51	2300
1/31/51	2240
2/1/51	1900
2/2/51	1920
2/3/51	1820
2/4/51	1220
2/5/51	1740
2/6/51	2250
2/7/51	2130
2/8/51	4400
2/9/51	5400
2/10/51	6340
2/11/51	6850
2/12/51	6070
2/13/51	5090
2/14/51	4330
2/15/51	4130
2/16/51	3910
2/17/51	3700
2/18/51	3480
2/19/51	3290
2/20/51	3240
2/21/51	3210
2/22/51	3210
2/23/51	3260
2/24/51	3190
2/25/51	3200
2/26/51	3120
2/27/51	2970
2/28/51	2820
3/1/51	3020
3/2/51	3030
3/3/51	3040
3/4/51	3010
3/5/51	3000
3/6/51	2940
3/7/51	2960
3/8/51	2980
3/9/51	3000
3/10/51	2980
3/11/51	2950
3/12/51	2880
3/13/51	2980
3/14/51	2980
3/15/51	2940
3/16/51	2780
3/17/51	2760
3/18/51	2860
3/19/51	2890
3/20/51	3330
3/21/51	3440
3/22/51	3400
3/23/51	3350
